Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
13,harsh,9,2,1,4,3,8,1,11,6,7,3,2,7,2,5,2,1,5,5,8,3,5,6,3,2,6,2,7,1,7,2,4,3,2,1,1,6,4,1,2,1,3,7,6,3,6,4,4,1,5,1,1,2,5,3,8,4,1,3,1,3,1,7,1,8,7,4,9,6,3,2,2,4,1,1,10,6,6,4,3,6,3,3,1,1,7,8,5,1,4,3,2,2,5,1,6,4,2,1,1
14,attention,1,3,3,5,2,3,6,8,2,6,5,3,4,1,7,3,2,1,1,5,4,8,7,5,5,3,3,5,2,3,4,2,2,4,5,6,2,1,3,6,3,2,4,4,2,3,2,2,3,1,2,4,6,6,1,1,1,5,1,3,1,3,1,4,6,4,3,7,4,2,5,1,6,3,3,3,2,4,2,4,5,1,1,2,6,6,4,1,2,1,2,3,6,2,2,7,7,1,2,6
15,sharp,2,1,2,3,1,1,2,1,1,2,1,1,1,3,1,4,5,7,2,7,1,1,2,4,1,1,1,1,4,4,3,1,1,5,4,3,1,2,2,1,6,1,1,1,1,1,3,1,2,2,3,2,1,2,4,6,2,2,4,2,2,5,5,3,3,5,5,3,1,1,1,3,1,2,2,1,1,1,1,1,4,2,2,3,3,4,5,3,4,2,1,1,5,1,3,1,1,3,4,2
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,king,3,2,6,4,6,1,2,2,8,4,7,1,1,5,5,5,3,4,6,2,3,4,5,4,5,1,7,6,3,1,5,3,7,2,4,4,2,5,6,4,5,4,3,3,8,4,1,8,5,2,1,6,1,5,3,5,3,4,2,4,4,6,2,6,9,2,2,2,5,3,7,5,5,1,4,7,2,5,4,4,4,6,3,6,6,6,4,4,6,4,3,1,2,2,4,4,6,1,1,5
1,queen,6,7,2,6,2,8,4,6,3,7,3,6,2,7,6,4,7,6,5,5,4,6,6,6,6,6,5,9,1,4,3,6,3,6,6,5,5,6,8,1,1,7,5,4,4,6,6,7,6,6,6,5,4,2,4,6,4,2,4,6,3,4,6,3,4,5,5,5,7,7,5,6,7,6,6,6,3,6,2,2,6,4,6,4,5,8,6,3,1,6,7,5,6,5,6,7,7,6,6,6
2,England,9,8,10,10,0,11,10,7,4,10,0,10,3,10,7,8,10,7,7,8,10,7,10,9,8,8,10,10,12,0,10,7,11,0,7,8,10,7,11,8,6,9,0,5,10,10,7,11,10,10,8,10,10,10,10,10,11,10,10,10,10,10,7,0,8,10,9,10,10,11,10,10,8,10,9,9,5,10,12,10,10,0,10,10,11,11,10,10,0,9,10,10,10,10,8,10,11,10,9,10
3,crown,10,9,8,8,7,5,9,10,9,8,8,9,8,9,8,9,9,8,8,7,7,8,7,7,7,7,3,11,9,9,8,9,10,7,8,7,7,8,10,7,7,6,8,10,9,9,8,10,8,9,7,8,8,9,9,9,10,9,9,9,9,9,8,8,5,9,8,8,9,5,4,7,6,9,8,8,7,7,11,8,7,11,9,8,10,10,9,9,9,7,9,8,9,8,7,9,5,7,10,8
4,prince,8,6,9,9,9,10,7,9,5,9,9,7,9,8,9,7,6,9,9,9,9,9,9,8,9,9,9,7,7,8,9,10,4,9,9,9,8,9,9,9,8,8,9,9,6,7,10,9,9,8,9,7,9,6,8,8,5,8,8,7,8,8,10,9,10,7,7,9,8,9,9,9,10,8,10,10,10,9,10,9,9,8,5,9,8,9,5,8,8,8,8,9,7,9,9,6,10,8,8,9
5,George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
