Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
7,tell,0,5,0,7,0,8,5,0,4,7,7,7,0,6,5,9,4,8,0,5,0,0,0,0,0,0,5,5,0,7,0,6,0,6,4,7,0,8,5,0,3,9,0,0,6,4,8,0,0,7,5,0,0,6,6,4,6,0,0,5,12,8,5,6,0,6,0,0,5,4,0,5,5,5,0,6,6,0,5,0,6,4,4,0,0,4,5,0,8,0,6,8,9,0,6,0,6,0,8,8
8,general,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,10,0,0,0,0,0,0,0
9,shout,0,6,0,5,0,6,6,0,5,4,5,5,0,0,4,2,5,0,0,4,0,0,0,0,0,4,7,6,0,4,0,7,0,5,7,4,0,3,7,0,2,10,0,0,5,6,7,0,0,6,6,4,0,5,4,5,5,0,0,6,6,4,6,4,0,5,0,0,3,10,0,6,7,6,0,0,4,0,4,7,5,5,6,0,0,6,6,0,9,0,4,6,7,0,7,0,4,5,9,4
10,halt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0
11,voice,0,7,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,5,0,9,0,8,0,0,5,4,6,0,6,0,0,0,7,0,6,0,0,5,0,5,0,0,0,7,8,0,4,7,5,6,0,5,0,0,0,0,0,0,0,7,8,7,0,5,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,5,4,0,6
12,soldier,0,0,0,6,0,5,0,0,0,6,10,4,0,5,0,0,0,4,0,0,4,0,4,0,0,0,4,8,0,6,0,5,0,0,0,11,4,0,0,0,7,4,8,0,4,11,5,0,0,12,0,6,0,0,0,0,4,0,5,12,11,0,0,0,0,7,0,0,10,0,0,0,9,8,4,4,7,4,0,6,0,11,0,0,0,0,0,0,0,0,5,4,4,0,5,0,0,0,0,5
13,harsh,2,1,2,3,3,2,2,3,3,1,3,3,2,2,2,3,2,2,2,1,3,3,3,4,3,2,2,2,2,2,3,2,3,3,2,5,2,5,2,3,8,2,1,3,2,2,2,3,3,2,1,2,1,1,2,1,2,1,2,2,4,1,3,3,1,3,2,2,2,1,2,2,2,1,2,3,2,2,3,1,1,2,2,2,1,2,3,3,3,2,2,2,2,2,2,2,3,3,3,2
14,attention,3,3,3,4,2,3,3,2,1,3,2,1,3,1,3,4,3,3,3,2,2,2,2,3,2,3,3,4,3,3,2,4,2,2,3,3,3,6,3,2,4,3,3,1,3,5,3,1,1,3,2,3,2,3,3,3,3,2,3,3,1,3,1,1,3,4,3,3,4,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,3,2,2,0,3,3,5,3,3,3,3,1,2,2,3
15,sharp,1,2,1,2,1,1,1,1,2,2,1,2,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,3,1,3,2,1,2,1,3,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,king,5,1,2,6,1,8,4,5,7,3,3,2,2,2,2,3,3,3,3,5,3,4,3,8,2,6,1,4,3,1,1,1,7,4,7,1,4,5,5,2,6,8,1,2,2,5,8,4,2,4,2,2,3,8,7,1,1,2,3,3,3,1,6,2,1,6,1,2,3,4,7,2,6,3,5,3,6,1,2,5,1,1,7,3,3,2,6,5,2,4,3,7,3,2,2,2,2,6,1,1
1,queen,3,7,4,2,3,5,5,4,2,6,1,3,7,6,5,5,6,1,2,1,2,2,7,1,7,5,2,3,6,3,4,2,5,3,5,4,3,4,3,5,1,5,6,6,3,4,2,5,6,2,1,6,2,7,1,5,2,6,2,7,2,6,5,1,4,3,2,4,7,1,3,3,3,2,3,5,3,5,5,2,2,4,5,8,5,7,3,6,3,8,6,5,2,6,1,5,4,5,7,7
2,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,crown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,prince,7,5,5,3,7,3,3,6,1,5,4,5,8,5,7,4,5,7,5,6,6,3,4,4,6,7,3,5,7,5,7,4,6,2,6,7,1,6,6,3,5,2,3,7,5,7,7,6,5,6,3,4,6,4,5,4,4,7,4,4,5,5,8,7,3,5,3,3,6,5,4,4,4,4,4,2,7,4,4,7,5,6,4,5,4,5,1,7,5,5,5,4,6,7,5,8,7,2,5,3
5,George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,dictator,8,0,0,9,9,9,8,10,8,9,8,8,1,8,1,8,0,9,8,10,0,8,9,2,9,8,0,0,0,8,8,0,9,9,9,8,0,8,0,8,8,3,0,8,8,3,9,9,9,8,0,8,8,0,6,0,0,9,0,6,6,0,9,8,0,8,7,8,9,0,8,0,9,1,8,8,8,8,0,8,8,0,9,7,8,0,0,8,8,9,8,9,9,8,8,9,9,9,8,9
7,palace,4,3,7,8,8,7,7,9,3,8,7,7,5,7,8,7,7,8,7,9,7,6,8,6,8,1,7,6,2,7,6,7,8,8,8,5,8,7,4,7,7,6,2,1,7,2,1,8,3,7,8,7,7,2,8,7,6,8,7,8,8,7,7,6,6,4,9,5,8,8,6,1,8,8,7,6,2,7,7,6,7,5,8,6,6,6,7,2,7,7,4,8,8,5,7,6,8,8,3,8
8,throne,2,4,3,4,5,4,6,8,4,7,5,1,3,3,3,2,2,5,6,8,1,7,2,3,3,2,6,7,1,4,3,6,3,5,2,2,7,3,2,6,4,4,4,3,1,6,4,3,1,1,4,3,4,6,3,2,5,3,5,1,7,2,4,4,2,2,5,6,2,6,1,5,5,7,1,1,5,6,3,1,4,2,3,4,2,3,5,3,6,6,1,2,7,1,3,7,5,3,4,2
9,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,rule,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,subjects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,monarch,1,2,6,1,4,2,1,3,5,2,2,4,4,1,6,1,1,4,1,4,5,1,5,5,4,3,4,1,4,2,5,3,2,1,3,3,2,1,1,1,2,1,5,4,4,1,5,2,4,3,5,1,1,3,2,3,3,5,1,2,1,3,2,3,5,1,4,1,4,2,2,6,2,5,2,7,1,3,6,4,3,7,2,1,1,4,4,4,1,2,2,6,4,4,4,3,3,1,2,4
13,royal,6,6,8,7,6,6,2,7,6,4,6,6,6,4,9,6,4,6,4,7,4,5,6,7,5,4,5,2,5,6,2,5,4,6,4,6,6,2,7,4,3,7,7,5,6,8,6,7,7,5,7,5,5,5,4,6,7,4,6,5,9,4,3,5,7,7,8,7,5,7,5,7,7,6,6,4,4,2,8,3,6,3,6,9,7,8,8,1,4,3,7,3,5,3,6,4,6,4,6,5
14,leader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,reign,0,0,1,5,2,1,0,2,0,1,0,0,0,0,4,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,8,1,0,1,0,5,0,0,0,0,0,0,0,0,0,3,1,8,0,9,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,6,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,1,0,1,1,0,0,1,1,7,0,6
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,city,1,2,4,3,1,4,1,2,1,1,2,3,4,2,2,3,2,1,2,3,2,1,2,3,2,2,1,3,6,1,4,2,5,2,3,1,1,2,1,3,3,3,2,2,5,3,3,2,3,1,1,3,4,3,3,1,2,2,2,2,1,3,1,2,1,5,1,2,2,1,4,3,1,6,2,1,1,1,2,1,2,2,2,3,2,3,2,7,1,5,3,2,5,1,1,3,3,2,2,1
1,town,5,6,6,5,2,5,2,3,4,2,4,7,2,3,6,5,5,5,7,2,7,4,6,5,3,3,7,2,4,2,2,4,3,4,4,2,5,5,5,7,5,5,3,3,3,2,5,4,4,5,2,6,3,5,2,5,3,4,3,6,2,4,4,1,5,2,3,5,5,3,3,7,2,4,4,3,5,4,5,5,4,4,6,4,5,5,4,4,5,8,5,6,4,5,4,2,5,1,1,7
2,crowded,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,10,0,0,0,0,0,0
3,state,0,0,0,0,0,0,0,8,0,9,0,11,0,0,0,0,0,0,0,7,9,5,8,11,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,9,7,0,0,8,0,0,7,9,0,0,10,0,0,8,0,0,0,0,0,0
4,capital,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,11,0,0,0,0,0,0
5,streets,6,7,5,8,0,6,7,9,8,7,7,8,8,7,8,6,7,6,8,8,5,9,5,6,0,8,6,5,3,4,8,8,8,6,8,6,8,7,8,0,8,8,0,0,7,7,7,8,6,8,8,7,8,8,8,7,9,9,7,0,3,8,7,0,4,7,8,8,7,7,8,8,0,7,7,8,6,8,8,6,8,0,8,9,6,0,6,5,6,9,7,0,8,9,8,6,7,0,7,6
6,subway,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,square,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,village,7,4,8,7,5,7,8,7,6,6,5,6,6,5,7,4,6,7,6,6,8,6,9,9,7,7,8,8,2,6,7,6,4,1,6,7,2,4,7,6,6,7,6,6,8,6,8,7,5,2,5,9,5,6,6,3,4,7,8,4,8,6,5,3,7,3,6,6,4,5,6,5,7,5,9,6,8,5,7,7,9,7,7,6,4,6,8,6,7,7,8,5,7,3,5,7,1,7,3,3
